id_registro;cod_paciente;documento_identidad;nombres;primer_apellido;segundo_apellido;genero;fec_nacimiento;municipio;pueblo_indigena;fec_vacunacion;cod_vacuna;desc_vacuna;nro_dosis;cod_establecimiento;desc_establecimiento;depto;nro_lote;temp_conservacion;edad_dias;via_aplicacion
LP-000001;PAC-LP-03516;17485207 LP;Camila;Villca;Paredes;Femenino;14/06/2020;Coroico;No;21/05/2024;VAC-003;Pentavalente;2;EST-LP-0012;Hospital de la Mujer Cota Cota;La Paz;LOT-PFZ-2024-147;2.7;1437;Intramuscular
LP-000002;PAC-LP-02446;53149813 LP;Gonzalo;Fernández;Yujra;Masculino;23/09/1985;Palca;Sí;22/08/2024;VAC-024;dT Adulto;1;EST-LP-0003;Centro Materno Infantil San Antonio;La Paz;LOT-GSK-2024-399;1.6;14213;Intramuscular
LP-000003;PAC-LP-00637;95294138 LP;Jhonny;Poma;Mendoza;Masculino;10/11/2017;Sapahaqui;Sí;24/10/2024;VAC-025;Influenza Estacional;1;EST-LP-0019;Centro Ambulatorio Villa Dolores;La Paz;LOT-BIO-2024-393;7.7;2540;Intramuscular
LP-000004;PAC-LP-00616;57954165 LP;Elena;Villca;García;Femenino;31/03/2020;Coroico;Sí;02/01/2024;VAC-009;Antipolio bOPV;3;EST-LP-0059;Posta de Salud Villa Primavera;La Paz;LOT-SNF-2024-446;4.1;1372;Oral
LP-000005;PAC-LP-01741;35294606 LP;Natalia;Cruz;Castillo;Femenino;26/01/2017;Guanay;No;17/06/2025;VAC-025;Influenza Estacional;1;EST-LP-0034;Policlínico Jaihuayco;La Paz;LOT-GSK-2025-173;6.5;3064;Intramuscular
LP-000006;PAC-LP-01263;96503627 LP;Elena;Salazar;Castillo;Femenino;15/10/2020;Patacamaya;Sí;27/01/2024;VAC-002;Pentavalente;1;EST-LP-0011;Hospital Municipal Achumani;La Paz;LOT-GSK-2024-733;4.3;1199;Intramuscular
LP-000007;PAC-LP-00987;74267246 LP;Miguel;Martínez;Chambi;Masculino;10/11/2010;Viacha;No;10/12/2024;VAC-025;Influenza Estacional;1;EST-LP-0044;Hospital Japonés Nuevos Horizontes;La Paz;LOT-AZN-2024-524;3.2;5144;Intramuscular
LP-000008;PAC-LP-01661;9853372 LP;Sonia;Romero;Mamani;Femenino;03/07/2012;Copacabana;No;19/12/2024;VAC-025;Influenza Estacional;1;EST-LP-0046;Micro Hospital Mariscal Sucre;La Paz;LOT-BIO-2024-244;5.5;4552;Intramuscular
LP-000009;PAC-LP-02775;18317188 LP;Carlos;Yujra;Limachi;Masculino;02/11/2020;Guanay;Sí;24/01/2025;VAC-008;Antipolio bOPV;2;EST-LP-0029;Puesto de Salud Tiquipaya Norte;La Paz;LOT-SNF-2025-680;6.2;1544;Oral
LP-000010;PAC-LP-00595;48878943 LP;Lorena;Torrez;Rojas;Femenino;09/09/2021;Viacha;No;18/07/2024;VAC-001;BCG;1;EST-LP-0025;Policlínico Urbarí;La Paz;LOT-BIO-2024-606;5.1;1043;Intradérmica
LP-000011;PAC-LP-03374;46827274 LP;Pablo;Yapura;Ticona;Masculino;01/11/2004;LA PAZ;Sí;28/05/2025;VAC-024;dT Adulto;1;EST-LP-0044;Hospital Japonés Nuevos Horizontes;La Paz ;LOT-SII-2025-187;5.8;7513;Intramuscular
LP-000012;PAC-LP-03604;39250816 LP;Marco;Peñaranda;García;Masculino;31/08/1993;Patacamaya;No;03/04/2025;VAC-024;dT Adulto;1;EST-LP-0064;Policlínico Porvenir;La Paz;LOT-GSK-2025-904;3.2;11538;Intramuscular
LP-000013;PAC-LP-02988;73653787 LP;Adrián;Ticona;Catari;Masculino;28/05/1996;Caranavi;Sí;06/02/2024;VAC-024;dT Adulto;1;EST-LP-0003;Centro Materno Infantil San Antonio;La Paz;LOT-SNF-2024-980;1.7;10115;Intramuscular
LP-000014;PAC-LP-00562;99207452 LP;Bertha;Torrez;Copa;Femenino;13/03/1988;El Alto;No;09/09/2024;VAC-024;dT Adulto;1;EST-LP-0012;Hospital de la Mujer Cota Cota;La Paz;LOT-AZN-2024-456;3.5;13329;Intramuscular
LP-000015;PAC-LP-00161;39499601 LP;Diana;Tarqui;Peñaranda;Femenino;13/10/1994;Coroico;No;02/02/2024;VAC-024;dT Adulto;1;EST-LP-0060;Posta Sanitaria Nueva Esperanza;La Paz;LOT-PFZ-2024-592;2.5;10704;Intramuscular
LP-000016;PAC-LP-00836;48331945 LP;Pablo;Yujra;Mamani;Masculino;30/11/2010;Palca;Sí;02/03/2024;VAC-025;Influenza Estacional;1;EST-LP-0061;Puesto de Salud Progreso;LA PAZ;LOT-PFZ-2024-988;5.7;4841;Intramuscular
LP-000017;PAC-LP-03145;16325598 LP;Carmen;Vargas;Romero;Femenino;14/06/1987;Tipuani;Sí;28/12/2024;VAC-024;dT Adulto;1;EST-LP-0051;Micro Hospital Illimani;La Paz;LOT-GSK-2024-311;5.5;13712;Intramuscular
LP-000018;PAC-LP-02649;8331556 LP;Álvaro;Huanca;Limachi;Masculino;31/08/2023;Tipuani;No;17/12/2024;VAC-001;BCG;1;EST-LP-0046;Micro Hospital Mariscal Sucre;La Paz;LOT-GSK-2024-459;6.3;474;Intradérmica
LP-000019;PAC-LP-02407;27896715 LP;Erick;Condori;Tarqui;Masculino;25/09/2018;La Paz;No;19/02/2025;VAC-025;Influenza Estacional;1;EST-LP-0054;Centro de Salud Sajama;La Paz;LOT-GSK-2025-891;13.3;2339;Intramuscular
LP-000020;PAC-LP-03769;65753369 LP;Luis;Peñaranda;Mamani;Masculino;14/01/1990;Coroico;No;24/03/2025;VAC-025;Influenza Estacional;1;EST-LP-0005;Centro Materno Infantil Miraflores;La Paz;LOT-PFZ-2025-710;5.0;12853;Intramuscular
LP-000021;PAC-LP-00467;50902136 LP;Óscar;Chipana;Limachi;Masculino;19/09/2022;Pucarani;Sí;19/09/2024;VAC-019;SRP (Triple Viral);1;EST-LP-0011;Hospital Municipal Achumani;La Paz;LOT-BIO-2024-662;4.4;731;Subcutánea
LP-000022;PAC-LP-03855;50491168 LP;Paola;Gutiérrez;López;Femenino;05/07/2021;Guanay;Sí;05/03/2025;VAC-002;Pentavalente;1;EST-LP-0035;Centro Ambulatorio Valle Hermoso;La Paz;LOT-PFZ-2025-853;5.9;1339;Intramuscular
LP-000023;PAC-LP-01122;66648945 LP;Mateo;Mamani;Choque;Masculino;24/07/1990;Mecapaca;No;21/05/2025;VAC-024;dT Adulto;1;EST-LP-0039;Centro de Salud La Cancha;La Paz;LOT-SNF-2025-835;4.4;12720;Intramuscular
LP-000024;PAC-LP-00552;54459288 LP;Lucía;Tarqui;Mendoza;Femenino;06/12/2019;Mecapaca;No;02/12/2024;VAC-011;Antipolio bOPV;5;EST-LP-0004;Posta Sanitaria Villa Victoria;La Paz;LOT-PFZ-2024-450;6.6;1823;Oral
LP-000025;PAC-LP-03367;49035848 LP;Rosa;Chipana;Callisaya;Femenino;06/09/2017;Achacachi;Sí;21/01/2025;VAC-025;Influenza Estacional;1;EST-LP-0017;Puesto de Salud Río Seco;La Paz;LOT-GSK-2025-481;5.6;2694;Intramuscular
LP-000026;PAC-LP-02874;62075920 LP;Ricardo;Nina;Martínez;Masculino;20/10/2022;El Alto;Sí;01/03/2024;VAC-003;Pentavalente;2;EST-LP-0043;Centro Ambulatorio Villa Ingenio;La Paz;LOT-BIO-2024-307;6.2;498;Intramuscular
LP-000027;PAC-LP-01489;45150968 LP;Mateo;Quisbert;Vargas;Masculino;15/02/2013;Mecapaca;No;28/03/2025;VAC-023;VPH;2;EST-LP-0056;Puesto de Salud Toro Toro;La Paz;LOT-GSK-2025-994;5.7;4424;Intramuscular
LP-000028;PAC-LP-00642;14936930 LP;Carla;Calle;Paco;Femenino;05/03/1989;Achacachi;No;24/07/2024;VAC-024;dT Adulto;1;EST-LP-0007;Hospital Germán Busch Obrajes;La Paz;LOT-SNF-2024-134;3.9;12925;Intramuscular
