record_id;sync_timestamp;device_id;patient_id;patient_ci;patient_name;patient_last_name_1;patient_last_name_2;patient_sex;patient_birth_date;patient_department;patient_municipality;patient_community;patient_indigenous;vaccination_date;vaccine_code;vaccine_name;dose_number;facility_code;facility_name;lot_number;storage_temp_celsius;patient_age_days;administration_route;gps_latitude;gps_longitude;gps_accuracy_meters;observations
MOVIL-000001;2025-05-27T14:06:40;TAB-PT-02;MOV-00547;56291772 PT;Miguel;Mendoza;Siñani;M;04/04/2022;Potosí;Llallagua;Ayllu Jukumani;FALSE;2025-05-27T15:41:36;VAC-020;SRP (Triple Viral);2.0;EST-PT-0217;Puesto de Salud Urbarí;2025451;7.5;1149;Subcutánea;-18.555.882;-66.337.932;10.0;Segunda visita - completar esquema
MOVIL-000002;2024-01-17T11:25:57;TAB-PT-06;MOV-00927;67037891 OR;Jorge;Vargas;Condori;M;24/07/1988;Oruro;Salinas de Garci Mendoza;Comunidad Chipaya;TRUE;2024-01-17T08:55:31;VAC-025;Influenza Estacional;1.0;EST-OR-0262;Centro Ambulatorio Sopocachi;LOT-GSK-2024-470;7.3;12960;Intramuscular;-18.162.712;-67.006.666;5.0;Campaña puerta a puerta
MOVIL-000003;2024-03-26T08:01:08;TAB-CH-01;MOV-01129;56619819 OR;Marco;Copa;Callisaya;M;17/04/2020;Oruro;Poopó;Comunidad Chacala;FALSE;2024-03-26T10:48:40;VAC-004;Pentavalente;3.0;EST-OR-0263;Centro Ambulatorio Obrajes;LOT-GSK-2024-545;6.2;1439;Intramuscular;-18.024.914;-67.547.002;5.0;
MOVIL-000004;2025-05-09T11:50:14;TAB-PT-04;MOV-00593;;Juan;Copa;Condori Poma;M;15/01/2020;Oruro;Pazña;Comunidad Caripuyo;TRUE;2025-05-09T15:01:29;VAC-025;Influenza Estacional;1.0;EST-OR-0240;Posta Sanitaria Litoral;LOT-PFZ-2025-319;6.4;1941;Intramuscular;-176.378;-66.489.938;25.0;
MOVIL-000005;2024-05-25T08:35:20;TAB-CH-05;MOV-00061;19130254 OR;Nayeli;Flores;Chipana;F;13/06/2023;Oruro;Pazña;Ayllu Laymes;TRUE;2024-05-25T15:40:42;VAC-009;Antipolio bOPV;3.0;EST-OR-0250;Posta de Salud El Carmen;LOT-PFZ-2024-838;11.3;347;Oral;-17.761.582;-67.212.685;5.0;Brigada móvil comunitaria
MOVIL-000006;2024-12-16T08:10:54;TAB-CH-06;MOV-01152;53212000 PT;María;Siñani;Limachi;F;30/01/2024;Potosí;Ravelo;Comunidad Ocurí;TRUE;2024-12-16T07:52:49;VAC-007;Antipolio IPV;1.0;EST-PT-0231;Centro Materno Infantil La Cancha;LOT-GSK-2024-384;4.5;321;Intramuscular;-20.553.473;-65.206.256;10.0;
MOVIL-000007;2025-06-04T10:25:14;TAB-PT-03;MOV-01200;;Freddy;Condori;Cruz;M;09/03/2020;Oruro;Oruro;;TRUE;2025-06-04T15:58:27;VAC-025;Influenza Estacional;1.0;EST-OR-0262;Centro Ambulatorio Sopocachi;LOT-BIO-2025-380;12.4;1913;Intramuscular;-17.219.193;-66.869.021;10.0;Vacunación en unidad educativa
MOVIL-000008;2025-03-29T12:53:32;TAB-OR-01;MOV-01083;36439056 OR;Paola;Rojas;Chambi;F;15/03/2022;Oruro;Huanuni;Ayllu Pocoata;FALSE;2025-03-29T09:48:09;VAC-003;Pentavalente;2.0;EST-OR-0243;Centro Integral de Salud Illimani;LOT-GSK-2025-740;5.7;1110;Intramuscular;-17.247.419;-67.786.872;100.0;Referido de posta vecina
MOVIL-000009;2025-04-07T10:17:04;TAB-OR-07;MOV-00243;34269285 PT;Bernarda;Ticona;Chipana;F;07/08/2024;Potosí;Betanzos;Comunidad Ocurí;TRUE;2025-04-07T15:43:56;VAC-001;BCG;1.0;EST-PT-0222;Puesto de Salud Sacaba Sur;LOT-BIO-2025-203;12.7;243;Intradérmica;-18.985.588;-65.568.171;50.0;
MOVIL-000010;2024-03-07T12:17:15;TAB-PT-02;MOV-00065;14630084 PT;Domitila;Quisbert;Tarqui;F;07/01/2023;Potosí;Betanzos;;TRUE;2024-03-07T14:42:07;;;1.0;EST-PT-0222;Puesto de Salud Sacaba Sur;LOT-AZN-2024-301;14.9;425;Intradérmica;-19.088.393;-66.577.037;15.0;Referido de posta vecina
